name,price,gtin,url
Can Kardeşler Cappucino Badem Draje 90 Gr,"42,00 ₺",8680440372770,https://www.gurmar.com.tr/can-karde%C5%9Fler-cappucino-badem-draje-90-gr
Can Kardeşler Cappuccino Fındık Draje 90 Gr,"42,00 ₺",8680440372787,https://www.gurmar.com.tr/can-karde%C5%9Fler-cappuccino-f%C4%B1nd%C4%B1k-draje-90-gr
Can Kardeşler Çakıltaşı Draje 90 Gr,"32,00 ₺",8680440370035,https://www.gurmar.com.tr/can-karde%C5%9Fler-cak%C4%B1lta%C5%9F%C4%B1-draje-90-gr
Can Kardeşler Badem Şekeri 100 Gr,"30,00 ₺",8680440370059,https://www.gurmar.com.tr/can-karde%C5%9Fler-badem-%C5%9Fekeri-100-gr
Can Kardeşler Antep Fıstıklı Cezerye 190 GR,"42,00 ₺",8680440370080,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1kl%C4%B1-cezerye-190-gr
Can Kardeşler Antep Fıstıklı Atom Cezerye Kg,"504,00 ₺",2712605000009,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1kl%C4%B1-atom-cezerye-kg
Can Kardeşler Antep Fıstık&İncirli Lokum 100 Gr,"38,00 ₺",8680440373050,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1k-incirli-lokum-100-gr
Can Kardeşler Antep Fıstığı Şekeri 100 Gr,"27,00 ₺",8680440370295,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1%C4%9F%C4%B1-%C5%9Fekeri-100-gr
Boombastıc Fındıklı Bar,"12,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/boombast%C4%B1c-f%C4%B1nd%C4%B1kl%C4%B1-bar
Bubblicious Çilek Aromalı Sakız 38 Gr,"13,00 ₺",7622210479563,https://www.gurmar.com.tr/bubblicious-cilek-aromal%C4%B1-sak%C4%B1z-38-gr
Can Kardeşler Antep Fıstıklı 90 Gr,"63,00 ₺",8680440372701,https://www.gurmar.com.tr/can-karde%C5%9Fler-antep-f%C4%B1st%C4%B1kl%C4%B1-90-gr
Bounty Hindistan Cevizli Çikolata Bar 57 Gr,"25,00 ₺",40111216,https://www.gurmar.com.tr/bounty-hindistan-cevizli-cikolata-bar-57-gr
Boombastıc Yer Fıstıklı Bar,"12,00 ₺",Belirtilmemis,https://www.gurmar.com.tr/boombast%C4%B1c-yer-f%C4%B1st%C4%B1kl%C4%B1-bar
Biscolata Veni Fındıklı Gofret 110 Gr,"21,50 ₺",8691707096544,https://www.gurmar.com.tr/biscolata-veni-f%C4%B1nd%C4%B1kl%C4%B1-gofret-110-gr
Biskrem Kakaolu Krema Dolgulu Büyük Boy Rulo Bisküvi 150 Gr,"17,00 ₺",8690504115380,https://www.gurmar.com.tr/biskrem-kakaolu-krema-dolgulu-buyuk-boy-rulo-biskuvi-150-gr
Can Kardeşler Kuruyemiş Çiğ İç Fıstık KG,"238,00 ₺",2708925000003,https://www.gurmar.com.tr/can-karde%C5%9Fler-kuruyemi%C5%9F-ci%C4%9F-ic-f%C4%B1st%C4%B1k-kg
Biskrem Kakaolu Krema Dolgulu Büyük Poşet Bisküvi 200 Gr,"23,00 ₺",8690504115014,https://www.gurmar.com.tr/biskrem-kakaolu-krema-dolgulu-buyuk-po%C5%9Fet-biskuvi-200-gr
