name,price,gtin,url
"Bingo Fresh Lovely Yüzey Temizleyici 2,5 Lt","69,90 ₺",8690536901265,https://www.gurmar.com.tr/bingo-fresh-lovely-yuzey-temizleyici-2-5-lt
Bingo Fresh Lavanta Çiçekleri Yüzey Temizleyici 1 Lt,"34,90 ₺",8690536340842,https://www.gurmar.com.tr/bingo-fresh-lavanta-cicekleri-yuzey-temizleyici-1-lt
Bingo Dynamic Dalından Limon Kokulu Sıvı Bulaşık Deterjanı 675 Gr,"32,90 ₺",8690536311859,https://www.gurmar.com.tr/bingo-dynamic-dal%C4%B1ndan-limon-kokulu-s%C4%B1v%C4%B1-bula%C5%9F%C4%B1k-deterjan%C4%B1-675-gr
Bingo Çiçeklerin Işıltısı Krem Mutfak Temizleyici 750 Ml,"39,95 ₺",8690536004799,https://www.gurmar.com.tr/bingo-ciceklerin-i%C5%9F%C4%B1lt%C4%B1s%C4%B1-krem-mutfak-temizleyici-750-ml
Bingo Beyazlar ve Renkliler için Parfümsüz Sıvı Deterjan33 Yıkama 2145 Ml,"149,90 ₺",8690536903306,https://www.gurmar.com.tr/bingo-beyazlar-ve-renkliler-icin-parfumsuz-s%C4%B1v%C4%B1-deterjan33-y%C4%B1kama-2145-ml
Bingo Dynamic Hassas Eller Sıvı Bulaşık Deterjanı 675 Gr,"32,90 ₺",8690536004911,https://www.gurmar.com.tr/bingo-dynamic-hassas-eller-s%C4%B1v%C4%B1-bula%C5%9F%C4%B1k-deterjan%C4%B1-675-gr
Bingo Amonyaklı Krem Banyo Temizleyici 750 Ml,"39,95 ₺",8690536004751,https://www.gurmar.com.tr/bingo-amonyakl%C4%B1-krem-banyo-temizleyici-750-ml
Bingo Beyazlar ve Renkliler için Sıvı Deterjan 33 Yıkama 2145 Ml,"149,90 ₺",8690536903757,https://www.gurmar.com.tr/bingo-beyazlar-ve-renkliler-icin-s%C4%B1v%C4%B1-deterjan-33-y%C4%B1kama-2145-ml
Asperox Sarı Güç Ultra Yağ Çözücü 1 litre,"74,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/asperox-sar%C4%B1-guc-ultra-ya%C4%9F-cozucu-1-litre
Asperox Mavi Güç Kireç ve Pas Sökücü 1 litre,"74,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/asperox-mavi-guc-kirec-ve-pas-sokucu-1-litre
"Asperox Yüzey Temizleyicisi Gün Işığı  2,5 litre","74,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/asperox-yuzey-temizleyicisi-gun-i%C5%9F%C4%B1%C4%9F%C4%B1-2-5-litre
"Asperox Yüzey Temizleyicisi Bahar Esintisi 2,5 litre","74,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/asperox-yuzey-temizleyicisi-bahar-esintisi-2-5-litre
Ariel Sıvı Canlı Parlak Siyahlar 16 Yıkama,"169,90 ₺",8006540819388,https://www.gurmar.com.tr/ariel-s%C4%B1v%C4%B1-canl%C4%B1-parlak-siyahlar-16-y%C4%B1kama
Ariel Sıvı Canlı Parlak Siyahlar 29 Yıkama,"179,90 ₺",8006540819340,https://www.gurmar.com.tr/ariel-s%C4%B1v%C4%B1-canl%C4%B1-parlak-siyahlar-29-y%C4%B1kama
"Asperox Yüzey Temizleyicisi Aşk Masalı 2,5 litre","74,90 ₺",Belirtilmemis,https://www.gurmar.com.tr/asperox-yuzey-temizleyicisi-a%C5%9Fk-masal%C4%B1-2-5-litre
Bingo Siyahlar İçin Sıvı Çamaşır Deterjanı 67 Yıkama 4 Lt,"121,90 ₺",8690536901838,https://www.gurmar.com.tr/bingo-siyahlar-icin-s%C4%B1v%C4%B1-cama%C5%9F%C4%B1r-deterjan%C4%B1-67-y%C4%B1kama-4-lt
Bingo Soft Kuzumun Kokusu Canım Oğluşum Konsantre Yumuşatıcı 1440 Ml,"81,50 ₺",8690536903658,https://www.gurmar.com.tr/bingo-soft-kuzumun-kokusu-can%C4%B1m-o%C4%9Flu%C5%9Fum-konsantre-yumu%C5%9Fat%C4%B1c%C4%B1-1440-ml
Bingo Siyah Sıvı Çamaşır Deterjanı 3 Lt,"139,90 ₺",8690536905157,https://www.gurmar.com.tr/bingo-siyah-s%C4%B1v%C4%B1-cama%C5%9F%C4%B1r-deterjan%C4%B1-3-lt
Bingo Soft Konsantre Mutlu Yuvam Yumuşatıcı 1440 Ml,"81,50 ₺",Belirtilmemis,https://www.gurmar.com.tr/bingo-soft-konsantre-mutlu-yuvam-yumu%C5%9Fat%C4%B1c%C4%B1-1440-ml
Bingo Oksijen Yüzey Temizleyici Sprey 750 Ml,"45,95 ₺",8690536904990,https://www.gurmar.com.tr/bingo-oksijen-yuzey-temizleyici-sprey-750-ml
